label,packet_size,duration,protocol,network,protocol_code,network_code,label_code
non-reel,613,2.343351515920681,TCP,good,0.0,0,0
non-reel,528,8.959669873365616,TCP,poor,0.0,2,0
reel,1436,18.99781235951843,UDP,medium,1.0,1,1
reel,1869,19.896082369481693,UDP,medium,1.0,1,1
reel,2026,15.43709593970886,UDP,good,1.0,0,1
reel,2069,15.120253795731742,TCP,good,0.0,0,1
reel,2080,15.1994761597167,TCP,good,0.0,0,1
reel,2102,13.748419560794767,UDP,good,1.0,0,1
reel,2224,15.344518366026962,UDP,good,1.0,0,1
non-reel,682,3.8834421787202937,TCP,medium,0.0,1,0
non-reel,607,3.0433204468073827,HTTP,medium,2.0,1,0
non-reel,447,1.6539924451948569,TCP,good,0.0,0,0
reel,1757,19.146411333076745,UDP,medium,1.0,1,1
non-reel,398,3.2598135480077164,HTTP,medium,2.0,1,0
reel,1710,16.83233234547834,UDP,good,1.0,0,1
non-reel,591,1.768666786412325,TCP,good,0.0,0,0
non-reel,417,2.492412915257574,TCP,good,0.0,0,0
non-reel,827,2.83288725589561,TCP,good,0.0,0,0
reel,1992,17.053475953118785,UDP,good,1.0,0,1
reel,1709,17.949321936938745,UDP,medium,1.0,1,1
non-reel,665,2.6941857049782194,HTTP,medium,2.0,1,0
non-reel,426,1.2011615395857662,HTTP,medium,2.0,1,0
reel,1948,15.160350304577426,TCP,good,0.0,0,1
non-reel,652,4.761402727136563,TCP,poor,0.0,2,0
non-reel,323,4.209207697299451,HTTP,good,2.0,0,0
non-reel,426,2.26181498045162,TCP,good,0.0,0,0
reel,1373,22.795216664071827,TCP,poor,0.0,2,1
reel,1856,18.200537714774363,TCP,medium,0.0,1,1
reel,1449,19.899630896386505,UDP,poor,1.0,2,1
non-reel,188,1.164852249239417,HTTP,poor,2.0,2,0
reel,1816,16.620717508056053,UDP,good,1.0,0,1
non-reel,938,0.4041332962191006,TCP,good,0.0,0,0
non-reel,663,2.2939416057205517,HTTP,good,2.0,0,0
non-reel,476,1.816841956417968,HTTP,good,2.0,0,0
non-reel,323,0.6134727594682365,TCP,poor,0.0,2,0
reel,2748,16.237883678391366,TCP,good,0.0,0,1
non-reel,868,1.7077336935883094,HTTP,good,2.0,0,0
non-reel,272,1.4123972146460626,HTTP,good,2.0,0,0
reel,1608,18.61642385444992,TCP,medium,0.0,1,1
non-reel,564,0.8834613934580648,HTTP,poor,2.0,2,0
non-reel,544,0.855381190439142,TCP,good,0.0,0,0
non-reel,827,1.703337583666094,TCP,good,0.0,0,0
reel,2352,14.85482988939233,UDP,good,1.0,0,1
non-reel,421,6.423363572033756,HTTP,poor,2.0,2,0
reel,1458,23.754261556802263,UDP,poor,1.0,2,1
non-reel,476,1.835943435403856,HTTP,medium,2.0,1,0
non-reel,596,3.4319133785147358,TCP,poor,0.0,2,0
reel,2299,16.701132927177547,UDP,good,1.0,0,1
reel,1586,25.72920567260353,UDP,poor,1.0,2,1
reel,1783,17.714655093273326,TCP,good,0.0,0,1
reel,2150,15.1973482808376,TCP,good,0.0,0,1
non-reel,304,7.598797364511832,HTTP,poor,2.0,2,0
reel,2049,18.830896694053337,TCP,medium,0.0,1,1
reel,2095,16.07634063765323,TCP,good,0.0,0,1
non-reel,631,1.1746533566714996,HTTP,poor,2.0,2,0
reel,1695,18.16182969036669,TCP,medium,0.0,1,1
non-reel,503,4.816777919467221,TCP,medium,0.0,1,0
reel,1786,21.091287341595603,UDP,medium,1.0,1,1
non-reel,593,2.795873652510397,TCP,good,0.0,0,0
non-reel,825,3.8343563422553872,TCP,medium,0.0,1,0
reel,1171,24.644345946395863,UDP,poor,1.0,2,1
non-reel,737,4.081979815125559,TCP,good,0.0,0,0
non-reel,482,0.7192120808686793,TCP,good,0.0,0,0
non-reel,592,8.640456405138332,HTTP,poor,2.0,2,0
reel,1340,17.519878986235483,UDP,medium,1.0,1,1
non-reel,767,4.599050762411864,HTTP,medium,2.0,1,0
non-reel,538,4.6399184381663,HTTP,good,2.0,0,0
non-reel,353,1.2468807528521424,HTTP,good,2.0,0,0
non-reel,563,1.6235175090439604,TCP,poor,0.0,2,0
non-reel,561,2.4876923039911905,TCP,good,0.0,0,0
non-reel,655,3.3346459051794204,TCP,good,0.0,0,0
reel,1645,17.492464689085804,TCP,poor,0.0,2,1
reel,1781,15.842964522676366,TCP,good,0.0,0,1
non-reel,272,5.748633434111618,HTTP,poor,2.0,2,0
reel,1416,26.356946736813505,UDP,poor,1.0,2,1
reel,2113,16.650194709772542,UDP,good,1.0,0,1
non-reel,369,2.547475190895041,TCP,medium,0.0,1,0
reel,1541,18.78904315250296,TCP,medium,0.0,1,1
non-reel,664,2.436064725890194,TCP,medium,0.0,1,0
non-reel,616,11.33738367675967,HTTP,poor,2.0,2,0
non-reel,879,1.4692759881361717,HTTP,good,2.0,0,0
non-reel,360,4.47772255004474,TCP,poor,0.0,2,0
non-reel,-6,2.682988547335998,HTTP,medium,2.0,1,0
reel,2104,15.836264539026525,TCP,good,0.0,0,1
reel,2151,16.321072871914033,UDP,good,1.0,0,1
non-reel,216,2.418324387828963,HTTP,medium,2.0,1,0
non-reel,618,2.5375921257168583,TCP,good,0.0,0,0
non-reel,655,2.050985810846329,HTTP,good,2.0,0,0
non-reel,668,3.23329445042853,TCP,good,0.0,0,0
non-reel,327,2.548042924885961,TCP,poor,0.0,2,0
reel,1716,19.257598794214008,TCP,medium,0.0,1,1
non-reel,540,3.765641826034892,TCP,poor,0.0,2,0
non-reel,244,4.384965331977986,TCP,good,0.0,0,0
non-reel,692,4.853945106099201,HTTP,medium,2.0,1,0
non-reel,436,1.8006042001586842,HTTP,medium,2.0,1,0
reel,1852,18.401484683063973,TCP,medium,0.0,1,1
non-reel,459,1.0388805115521806,HTTP,good,2.0,0,0
non-reel,167,2.6110264182233136,TCP,medium,0.0,1,0
reel,1636,23.61674093328743,UDP,poor,1.0,2,1
non-reel,838,2.2685418406804607,TCP,medium,0.0,1,0
reel,1627,16.311874897039253,TCP,good,0.0,0,1
non-reel,251,2.449855770877533,TCP,medium,0.0,1,0
non-reel,618,2.4090352641408983,HTTP,good,2.0,0,0
reel,1790,14.097283197989034,UDP,good,1.0,0,1
non-reel,572,5.550096716849832,TCP,poor,0.0,2,0
non-reel,350,1.9898613548047677,TCP,medium,0.0,1,0
reel,1296,22.53274687216903,UDP,poor,1.0,2,1
non-reel,552,3.578704673197329,HTTP,medium,2.0,1,0
non-reel,-15,0.6549559798345017,HTTP,poor,2.0,2,0
non-reel,356,6.72189377139291,TCP,poor,0.0,2,0
reel,2402,16.23223348124509,UDP,good,1.0,0,1
reel,2117,16.22134858295679,UDP,good,1.0,0,1
non-reel,310,1.5597348838523015,TCP,medium,0.0,1,0
non-reel,809,1.128248643682462,HTTP,good,2.0,0,0
reel,2412,16.034474483092445,UDP,good,1.0,0,1
non-reel,764,2.6645194174050477,HTTP,medium,2.0,1,0
non-reel,483,1.8839575403430835,TCP,good,0.0,0,0
non-reel,468,2.340881966984204,HTTP,good,2.0,0,0
non-reel,435,2.069331347821217,HTTP,medium,2.0,1,0
reel,1790,15.816545524004567,UDP,good,1.0,0,1
reel,2005,16.50201897278271,UDP,good,1.0,0,1
reel,1798,15.072362643423473,TCP,good,0.0,0,1
reel,1224,21.364862781329474,TCP,poor,0.0,2,1
reel,1764,19.041474899112256,UDP,medium,1.0,1,1
non-reel,487,1.9985438537065623,HTTP,good,2.0,0,0
non-reel,379,3.393142591717836,HTTP,poor,2.0,2,0
non-reel,939,3.023769135688093,HTTP,medium,2.0,1,0
non-reel,673,0.7327778994985459,TCP,good,0.0,0,0
reel,1938,20.741429505453823,UDP,medium,1.0,1,1
reel,2087,15.756015488339374,TCP,good,0.0,0,1
non-reel,720,2.536712328575576,TCP,good,0.0,0,0
non-reel,330,1.25812006109213,TCP,good,0.0,0,0
non-reel,490,2.199346562570608,HTTP,good,2.0,0,0
reel,1647,18.85304063268249,TCP,medium,0.0,1,1
non-reel,420,1.914646554654468,HTTP,medium,2.0,1,0
reel,1959,15.723858998589616,UDP,good,1.0,0,1
non-reel,451,1.0419314890773776,HTTP,poor,2.0,2,0
reel,1655,21.42382081538454,UDP,medium,1.0,1,1
non-reel,557,4.2510174267532586,TCP,poor,0.0,2,0
non-reel,460,3.434323075862904,TCP,medium,0.0,1,0
non-reel,816,2.7306405026627654,TCP,good,0.0,0,0
reel,1997,15.145419088465989,TCP,good,0.0,0,1
reel,1881,16.02149968409174,UDP,good,1.0,0,1
reel,1449,16.4896062595325,UDP,medium,1.0,1,1
reel,1846,14.933199113147,TCP,good,0.0,0,1
reel,1649,19.72886752070583,UDP,medium,1.0,1,1
reel,1940,18.88943634042756,UDP,medium,1.0,1,1
non-reel,255,0.7766040180708447,HTTP,medium,2.0,1,0
non-reel,718,1.503173255609526,HTTP,medium,2.0,1,0
reel,1981,16.80119345295591,TCP,good,0.0,0,1
reel,1533,17.39535311456596,UDP,medium,1.0,1,1
non-reel,246,3.022601128873798,TCP,medium,0.0,1,0
non-reel,529,1.8595816192747776,TCP,poor,0.0,2,0
reel,1618,16.858274176144562,UDP,good,1.0,0,1
reel,1907,16.48714002344837,UDP,good,1.0,0,1
non-reel,511,3.388690139785197,HTTP,good,2.0,0,0
reel,1967,15.62341097191519,UDP,good,1.0,0,1
non-reel,536,4.782962377039962,HTTP,poor,2.0,2,0
non-reel,387,3.180605169949792,TCP,medium,0.0,1,0
non-reel,534,1.6651967066604678,HTTP,medium,2.0,1,0
reel,1756,16.06167913648233,UDP,good,1.0,0,1
non-reel,611,1.789184713249762,TCP,good,0.0,0,0
non-reel,721,1.2487894205278671,TCP,good,0.0,0,0
non-reel,529,1.3310604065667508,HTTP,good,2.0,0,0
reel,2073,17.094731756595195,TCP,good,0.0,0,1
reel,1420,26.430502808284597,UDP,poor,1.0,2,1
reel,1631,18.81294933324422,TCP,medium,0.0,1,1
non-reel,497,0.9271519082321292,TCP,medium,0.0,1,0
non-reel,560,3.0686974288646827,HTTP,good,2.0,0,0
