packet_size,protocol,duration,network,label
100,TCP,1755622387.60901,good,non-reel
54,TCP,1755622387.652738,good,non-reel
75,TCP,1755622388.013268,good,non-reel
86,TCP,1755622388.073188,good,non-reel
1285,UDP,1755622390.251975,good,non-reel
1292,UDP,1755622390.252339,good,non-reel
1292,UDP,1755622390.25238,good,non-reel
1292,UDP,1755622390.252422,good,non-reel
1228,UDP,1755622390.252454,good,non-reel
99,TCP,1755622390.254065,good,non-reel
103,TCP,1755622390.254712,good,non-reel
90,UDP,1755622390.309351,good,non-reel
90,UDP,1755622390.30951,good,non-reel
90,UDP,1755622390.309645,good,non-reel
95,UDP,1755622390.319571,good,non-reel
88,UDP,1755622390.323178,good,non-reel
95,UDP,1755622390.336674,good,non-reel
88,UDP,1755622390.351175,good,non-reel
74,TCP,1755622390.351175,good,non-reel
87,UDP,1755622390.351175,good,non-reel
329,UDP,1755622390.353154,good,non-reel
329,UDP,1755622390.353154,good,non-reel
275,UDP,1755622390.376022,good,non-reel
66,TCP,1755622390.377469,good,non-reel
1287,UDP,1755622390.441472,good,non-reel
1292,UDP,1755622390.441472,good,non-reel
1292,UDP,1755622390.441472,good,non-reel
1292,UDP,1755622390.441472,good,non-reel
1292,UDP,1755622390.442072,good,non-reel
1292,UDP,1755622390.442072,good,non-reel
1292,UDP,1755622390.442072,good,non-reel
1292,UDP,1755622390.442072,good,non-reel
1292,UDP,1755622390.44285,good,non-reel
1292,UDP,1755622390.447908,good,non-reel
276,UDP,1755622390.447908,good,non-reel
201,UDP,1755622390.447908,good,non-reel
101,UDP,1755622390.448135,good,non-reel
95,UDP,1755622390.459977,good,non-reel
117,UDP,1755622390.462743,good,non-reel
117,UDP,1755622390.463067,good,non-reel
117,UDP,1755622390.46326,good,non-reel
904,UDP,1755622390.466709,good,non-reel
66,TCP,1755622390.47518,good,non-reel
54,TCP,1755622390.475466,good,non-reel
1414,TCP,1755622390.476342,good,non-reel
529,TCP,1755622390.476342,good,non-reel
88,UDP,1755622390.488785,good,non-reel
167,UDP,1755622390.507968,good,non-reel
179,UDP,1755622390.509763,good,non-reel
95,UDP,1755622390.521141,good,non-reel
1292,UDP,1755622390.523367,good,non-reel
1292,UDP,1755622390.523444,good,non-reel
95,UDP,1755622390.538242,good,non-reel
208,UDP,1755622390.547794,good,non-reel
54,TCP,1755622390.547794,good,non-reel
153,TCP,1755622390.547794,good,non-reel
735,TCP,1755622390.549631,good,non-reel
1287,UDP,1755622390.55413,good,non-reel
213,UDP,1755622390.55413,good,non-reel
182,UDP,1755622390.55413,good,non-reel
102,UDP,1755622390.560476,good,non-reel
102,UDP,1755622390.569887,good,non-reel
1292,UDP,1755622390.570153,good,non-reel
1292,UDP,1755622390.570153,good,non-reel
1292,UDP,1755622390.570153,good,non-reel
1292,UDP,1755622390.570153,good,non-reel
1258,UDP,1755622390.570153,good,non-reel
101,UDP,1755622390.571666,good,non-reel
102,UDP,1755622390.572438,good,non-reel
145,UDP,1755622390.575093,good,non-reel
131,UDP,1755622390.575439,good,non-reel
1288,UDP,1755622390.577355,good,non-reel
1288,UDP,1755622390.577534,good,non-reel
1268,UDP,1755622390.577577,good,non-reel
593,UDP,1755622390.610172,good,non-reel
178,UDP,1755622390.610172,good,non-reel
93,UDP,1755622390.610461,good,non-reel
85,UDP,1755622390.613061,good,non-reel
88,UDP,1755622390.614777,good,non-reel
1414,TCP,1755622390.624121,good,non-reel
1414,TCP,1755622390.624121,good,non-reel
54,TCP,1755622390.624231,good,non-reel
1414,TCP,1755622390.624384,good,non-reel
1414,TCP,1755622390.624384,good,non-reel
54,TCP,1755622390.624433,good,non-reel
687,TCP,1755622390.624457,good,non-reel
128,TCP,1755622390.62494,good,non-reel
888,TCP,1755622390.625097,good,non-reel
89,UDP,1755622390.635314,good,non-reel
647,UDP,1755622390.635314,good,non-reel
97,UDP,1755622390.635716,good,non-reel
1288,UDP,1755622390.649141,good,non-reel
1292,UDP,1755622390.649141,good,non-reel
1292,UDP,1755622390.649141,good,non-reel
1292,UDP,1755622390.649141,good,non-reel
1292,UDP,1755622390.649141,good,non-reel
1292,UDP,1755622390.649141,good,non-reel
1292,UDP,1755622390.649141,good,non-reel
1292,UDP,1755622390.649141,good,non-reel
1292,UDP,1755622390.649141,good,non-reel
93,UDP,1755622390.649362,good,non-reel
93,UDP,1755622390.649409,good,non-reel
93,UDP,1755622390.649431,good,non-reel
93,UDP,1755622390.649453,good,non-reel
1285,UDP,1755622390.65447,good,non-reel
221,UDP,1755622390.654533,good,non-reel
687,UDP,1755622390.654673,good,non-reel
1292,UDP,1755622390.664972,good,non-reel
1292,UDP,1755622390.664972,good,non-reel
1292,UDP,1755622390.664972,good,non-reel
1292,UDP,1755622390.664972,good,non-reel
1292,UDP,1755622390.664972,good,non-reel
1292,UDP,1755622390.664972,good,non-reel
1292,UDP,1755622390.664972,good,non-reel
1292,UDP,1755622390.664972,good,non-reel
1292,UDP,1755622390.664972,good,non-reel
1292,UDP,1755622390.664972,good,non-reel
86,UNKNOWN,1755622390.664972,good,non-reel
1292,UDP,1755622390.664972,good,non-reel
1292,UDP,1755622390.664972,good,non-reel
1292,UDP,1755622390.664972,good,non-reel
1292,UDP,1755622390.664972,good,non-reel
1292,UDP,1755622390.664972,good,non-reel
1292,UDP,1755622390.664972,good,non-reel
1292,UDP,1755622390.664972,good,non-reel
1292,UDP,1755622390.664972,good,non-reel
1292,UDP,1755622390.664972,good,non-reel
1292,UDP,1755622390.664972,good,non-reel
86,UNKNOWN,1755622390.665374,good,non-reel
93,UDP,1755622390.665838,good,non-reel
93,UDP,1755622390.66597,good,non-reel
93,UDP,1755622390.666013,good,non-reel
93,UDP,1755622390.666052,good,non-reel
93,UDP,1755622390.666096,good,non-reel
93,UDP,1755622390.666139,good,non-reel
93,UDP,1755622390.666173,good,non-reel
93,UDP,1755622390.666211,good,non-reel
93,UDP,1755622390.666251,good,non-reel
93,UDP,1755622390.666306,good,non-reel
