packet_size,protocol,duration,network,label
1414,TCP,1755622021.109868,good,reel
66,TCP,1755622021.116215,good,reel
74,TCP,1755622021.219515,good,reel
86,TCP,1755622021.221764,good,reel
86,TCP,1755622021.221764,good,reel
1354,TCP,1755622021.221793,good,reel
86,TCP,1755622021.233878,good,reel
1354,TCP,1755622021.233922,good,reel
329,UDP,1755622021.276414,good,reel
219,UDP,1755622021.276414,good,reel
223,UDP,1755622021.276414,good,reel
195,UDP,1755622021.276414,good,reel
84,UDP,1755622021.277275,good,reel
96,UDP,1755622021.277448,good,reel
89,UDP,1755622021.303159,good,reel
86,TCP,1755622021.313484,good,reel
1354,TCP,1755622021.313545,good,reel
90,UDP,1755622021.347646,good,reel
74,TCP,1755622021.350409,good,reel
74,TCP,1755622021.350409,good,reel
173,TCP,1755622021.350409,good,reel
716,TCP,1755622021.351062,good,reel
86,TCP,1755622021.399148,good,reel
94,TCP,1755622021.457751,good,reel
1354,TCP,1755622021.457792,good,reel
102,TCP,1755622021.462632,good,reel
1414,TCP,1755622021.462666,good,reel
1414,TCP,1755622021.462666,good,reel
94,TCP,1755622021.494229,good,reel
102,TCP,1755622021.540693,good,reel
94,TCP,1755622021.540693,good,reel
1114,TCP,1755622021.540757,good,reel
877,TCP,1755622021.540789,good,reel
105,TCP,1755622021.542022,good,reel
66,TCP,1755622021.542049,good,reel
102,TCP,1755622021.569545,good,reel
90,UDP,1755622021.578253,good,reel
86,TCP,1755622021.584208,good,reel
173,TCP,1755622021.587855,good,reel
86,TCP,1755622021.587885,good,reel
1414,TCP,1755622021.600581,good,reel
1414,TCP,1755622021.600581,good,reel
207,TCP,1755622021.600581,good,reel
982,TCP,1755622021.600689,good,reel
1414,TCP,1755622021.600858,good,reel
1414,TCP,1755622021.600858,good,reel
207,TCP,1755622021.600858,good,reel
1414,TCP,1755622021.600927,good,reel
1414,TCP,1755622021.600927,good,reel
207,TCP,1755622021.600927,good,reel
982,TCP,1755622021.600974,good,reel
982,TCP,1755622021.601007,good,reel
102,TCP,1755622021.607492,good,reel
94,TCP,1755622021.607492,good,reel
716,TCP,1755622021.614028,good,reel
86,TCP,1755622021.617094,good,reel
244,TCP,1755622021.629305,good,reel
