label,packet_size,duration,protocol,network
non-reel,613,2.343351515920681,TCP,good
non-reel,528,8.959669873365616,TCP,poor
reel,1436,18.99781235951843,UDP,medium
reel,1869,19.896082369481693,UDP,medium
reel,2026,15.437095939708861,UDP,good
reel,2069,15.120253795731742,TCP,good
reel,2080,15.1994761597167,TCP,good
reel,2102,13.748419560794769,UDP,good
reel,2224,15.344518366026962,UDP,good
non-reel,682,3.8834421787202937,TCP,medium
non-reel,607,3.0433204468073827,HTTP,medium
non-reel,447,1.6539924451948567,TCP,good
reel,1757,19.146411333076742,UDP,medium
non-reel,398,3.2598135480077164,HTTP,medium
reel,1710,16.83233234547834,UDP,good
non-reel,591,1.7686667864123253,TCP,good
non-reel,417,2.492412915257574,TCP,good
non-reel,827,2.83288725589561,TCP,good
reel,1992,17.053475953118785,UDP,good
reel,1709,17.949321936938745,UDP,medium
non-reel,665,2.6941857049782194,HTTP,medium
non-reel,426,1.2011615395857662,HTTP,medium
reel,1948,15.160350304577426,TCP,good
non-reel,652,4.761402727136563,TCP,poor
non-reel,323,4.209207697299451,HTTP,good
non-reel,426,2.2618149804516197,TCP,good
reel,1373,22.795216664071827,TCP,poor
reel,1856,18.200537714774363,TCP,medium
reel,1449,19.899630896386505,UDP,poor
non-reel,188,1.1648522492394173,HTTP,poor
reel,1816,16.620717508056053,UDP,good
non-reel,938,0.40413329621910066,TCP,good
non-reel,663,2.2939416057205513,HTTP,good
non-reel,476,1.8168419564179679,HTTP,good
non-reel,323,0.6134727594682365,TCP,poor
reel,2748,16.237883678391366,TCP,good
non-reel,868,1.7077336935883094,HTTP,good
non-reel,272,1.4123972146460626,HTTP,good
reel,1608,18.616423854449916,TCP,medium
non-reel,564,0.8834613934580648,HTTP,poor
non-reel,544,0.855381190439142,TCP,good
non-reel,827,1.703337583666094,TCP,good
reel,2352,14.85482988939233,UDP,good
non-reel,421,6.423363572033756,HTTP,poor
reel,1458,23.754261556802263,UDP,poor
non-reel,476,1.8359434354038557,HTTP,medium
non-reel,596,3.4319133785147353,TCP,poor
reel,2299,16.701132927177547,UDP,good
reel,1586,25.72920567260353,UDP,poor
reel,1783,17.714655093273326,TCP,good
reel,2150,15.1973482808376,TCP,good
non-reel,304,7.598797364511832,HTTP,poor
reel,2049,18.830896694053337,TCP,medium
reel,2095,16.07634063765323,TCP,good
non-reel,631,1.1746533566714996,HTTP,poor
reel,1695,18.161829690366694,TCP,medium
non-reel,503,4.816777919467221,TCP,medium
reel,1786,21.091287341595603,UDP,medium
non-reel,593,2.795873652510397,TCP,good
non-reel,825,3.8343563422553872,TCP,medium
reel,1171,24.644345946395866,UDP,poor
non-reel,737,4.081979815125559,TCP,good
non-reel,482,0.7192120808686793,TCP,good
non-reel,592,8.640456405138332,HTTP,poor
reel,1340,17.519878986235483,UDP,medium
non-reel,767,4.599050762411864,HTTP,medium
non-reel,538,4.6399184381662995,HTTP,good
non-reel,353,1.2468807528521424,HTTP,good
non-reel,563,1.6235175090439604,TCP,poor
non-reel,561,2.4876923039911905,TCP,good
non-reel,655,3.3346459051794204,TCP,good
reel,1645,17.492464689085804,TCP,poor
reel,1781,15.842964522676366,TCP,good
non-reel,272,5.748633434111618,HTTP,poor
reel,1416,26.356946736813505,UDP,poor
reel,2113,16.650194709772542,UDP,good
non-reel,369,2.5474751908950415,TCP,medium
reel,1541,18.789043152502956,TCP,medium
non-reel,664,2.436064725890194,TCP,medium
non-reel,616,11.33738367675967,HTTP,poor
non-reel,879,1.4692759881361717,HTTP,good
non-reel,360,4.47772255004474,TCP,poor
non-reel,-6,2.682988547335998,HTTP,medium
reel,2104,15.836264539026523,TCP,good
reel,2151,16.321072871914033,UDP,good
non-reel,216,2.418324387828963,HTTP,medium
non-reel,618,2.5375921257168583,TCP,good
non-reel,655,2.0509858108463295,HTTP,good
non-reel,668,3.23329445042853,TCP,good
non-reel,327,2.548042924885961,TCP,poor
reel,1716,19.257598794214008,TCP,medium
non-reel,540,3.7656418260348916,TCP,poor
non-reel,244,4.384965331977986,TCP,good
non-reel,692,4.853945106099201,HTTP,medium
non-reel,436,1.8006042001586842,HTTP,medium
reel,1852,18.401484683063973,TCP,medium
non-reel,459,1.0388805115521806,HTTP,good
non-reel,167,2.6110264182233136,TCP,medium
reel,1636,23.61674093328743,UDP,poor
non-reel,838,2.2685418406804607,TCP,medium
reel,1627,16.311874897039253,TCP,good
non-reel,251,2.449855770877533,TCP,medium
non-reel,618,2.4090352641408983,HTTP,good
reel,1790,14.097283197989034,UDP,good
non-reel,572,5.550096716849832,TCP,poor
non-reel,350,1.9898613548047674,TCP,medium
reel,1296,22.53274687216903,UDP,poor
non-reel,552,3.578704673197329,HTTP,medium
non-reel,-15,0.6549559798345017,HTTP,poor
non-reel,356,6.72189377139291,TCP,poor
reel,2402,16.23223348124509,UDP,good
reel,2117,16.22134858295679,UDP,good
non-reel,310,1.5597348838523017,TCP,medium
non-reel,809,1.1282486436824621,HTTP,good
reel,2412,16.034474483092445,UDP,good
non-reel,764,2.6645194174050473,HTTP,medium
non-reel,483,1.8839575403430833,TCP,good
non-reel,468,2.340881966984204,HTTP,good
non-reel,435,2.069331347821217,HTTP,medium
reel,1790,15.816545524004567,UDP,good
reel,2005,16.50201897278271,UDP,good
reel,1798,15.072362643423471,TCP,good
reel,1224,21.364862781329474,TCP,poor
reel,1764,19.041474899112256,UDP,medium
non-reel,487,1.9985438537065625,HTTP,good
non-reel,379,3.3931425917178357,HTTP,poor
non-reel,939,3.023769135688093,HTTP,medium
non-reel,673,0.7327778994985459,TCP,good
reel,1938,20.741429505453823,UDP,medium
reel,2087,15.756015488339374,TCP,good
non-reel,720,2.536712328575576,TCP,good
non-reel,330,1.25812006109213,TCP,good
non-reel,490,2.199346562570608,HTTP,good
reel,1647,18.85304063268249,TCP,medium
non-reel,420,1.9146465546544682,HTTP,medium
reel,1959,15.723858998589616,UDP,good
non-reel,451,1.0419314890773776,HTTP,poor
reel,1655,21.42382081538454,UDP,medium
non-reel,557,4.2510174267532586,TCP,poor
non-reel,460,3.434323075862904,TCP,medium
non-reel,816,2.7306405026627654,TCP,good
reel,1997,15.145419088465987,TCP,good
reel,1881,16.02149968409174,UDP,good
reel,1449,16.4896062595325,UDP,medium
reel,1846,14.933199113147,TCP,good
reel,1649,19.72886752070583,UDP,medium
reel,1940,18.889436340427558,UDP,medium
non-reel,255,0.7766040180708447,HTTP,medium
non-reel,718,1.503173255609526,HTTP,medium
reel,1981,16.80119345295591,TCP,good
reel,1533,17.39535311456596,UDP,medium
non-reel,246,3.022601128873798,TCP,medium
non-reel,529,1.8595816192747776,TCP,poor
reel,1618,16.858274176144562,UDP,good
reel,1907,16.48714002344837,UDP,good
non-reel,511,3.388690139785197,HTTP,good
reel,1967,15.62341097191519,UDP,good
non-reel,536,4.782962377039962,HTTP,poor
non-reel,387,3.180605169949792,TCP,medium
non-reel,534,1.6651967066604678,HTTP,medium
reel,1756,16.06167913648233,UDP,good
non-reel,611,1.789184713249762,TCP,good
non-reel,721,1.2487894205278673,TCP,good
non-reel,529,1.3310604065667508,HTTP,good
reel,2073,17.094731756595195,TCP,good
reel,1420,26.430502808284594,UDP,poor
reel,1631,18.81294933324422,TCP,medium
non-reel,497,0.9271519082321293,TCP,medium
non-reel,560,3.0686974288646827,HTTP,good
non-reel,205,3.6468307292222146,TCP,good
reel,1700,16.620391414509207,TCP,good
non-reel,686,2.2359368396322528,HTTP,good
non-reel,182,1.0677949086089764,TCP,good
reel,2231,15.899891163301955,UDP,good
non-reel,228,2.0880362091338753,HTTP,medium
non-reel,516,2.1953076739915725,TCP,medium
non-reel,694,2.407978900285002,HTTP,good
reel,1272,22.048334136231123,UDP,poor
reel,2232,16.058193768525193,UDP,good
reel,1125,26.742219040890532,TCP,poor
non-reel,691,1.4827582657671265,HTTP,medium
reel,1729,19.452631352743186,TCP,medium
non-reel,569,2.8978660166011614,TCP,good
reel,1902,18.896454728027837,UDP,medium
reel,1507,17.833070129157775,TCP,poor
non-reel,359,1.6090818314373907,HTTP,good
reel,1682,30.79899996230251,UDP,poor
non-reel,620,5.87761560215827,HTTP,poor
non-reel,620,1.2878850185243698,HTTP,good
non-reel,539,2.6012467004059148,HTTP,medium
reel,1667,22.64768747550745,TCP,poor
reel,2331,16.082363140097865,TCP,good
non-reel,542,4.614515286665918,HTTP,poor
non-reel,367,3.2861824742316976,TCP,good
non-reel,444,4.08867346008143,HTTP,poor
non-reel,674,2.109053461881269,TCP,medium
reel,1833,16.883382433525757,TCP,good
reel,1758,15.212234909980783,UDP,good
non-reel,511,3.534903052844083,HTTP,medium
non-reel,442,9.154850143794041,HTTP,poor
non-reel,495,4.118511374752805,HTTP,poor
non-reel,756,1.3173288696914844,TCP,medium
non-reel,-16,5.56980493116739,TCP,poor
non-reel,529,3.381722533167678,HTTP,medium
reel,1958,14.927334895079843,TCP,good
non-reel,603,3.1134563093558274,TCP,good
non-reel,633,2.544225337364371,HTTP,good
non-reel,625,0.4771466117301264,TCP,poor
non-reel,711,2.660346789623924,HTTP,good
non-reel,410,3.203986219093689,TCP,poor
reel,1717,17.34861493103379,UDP,medium
non-reel,621,2.7098758333920423,HTTP,good
reel,1973,14.393264120470894,TCP,good
reel,2264,16.45730476710083,TCP,good
reel,1617,14.551518301158193,TCP,good
non-reel,229,3.4567517329816257,TCP,medium
reel,2319,16.099618046767443,TCP,good
non-reel,534,0.7870197332218263,TCP,poor
non-reel,546,5.081967696731355,HTTP,poor
reel,2231,17.028667566034073,TCP,good
reel,1596,14.413377279613158,TCP,good
reel,2287,15.035379661205656,UDP,good
reel,1466,18.03637148764724,TCP,medium
non-reel,313,2.598560480693961,HTTP,medium
reel,2207,17.356019770935237,UDP,good
non-reel,368,2.403841769683778,TCP,good
non-reel,706,3.795251013581329,HTTP,good
non-reel,705,2.8601533956183536,TCP,poor
non-reel,470,3.6682880875622805,TCP,good
non-reel,302,1.601812387499307,HTTP,poor
non-reel,734,1.9986179813453626,TCP,good
non-reel,689,1.2465865315375193,TCP,medium
non-reel,668,3.2001289123882346,TCP,good
reel,1083,23.18989264366248,TCP,poor
non-reel,922,1.920809898711924,HTTP,good
non-reel,724,1.359511999054681,HTTP,good
reel,928,25.503048848154403,TCP,poor
non-reel,330,3.225767203125885,HTTP,medium
non-reel,387,1.4109128536095017,HTTP,good
non-reel,444,3.7800580965029518,HTTP,good
reel,2051,15.90118116386416,TCP,good
non-reel,456,2.229851032435521,HTTP,good
non-reel,844,4.245068442392768,TCP,good
reel,1621,23.45832606821889,UDP,poor
non-reel,434,3.142866674587055,HTTP,poor
non-reel,299,2.607443507199729,HTTP,medium
reel,1999,18.146402181016168,UDP,good
non-reel,501,10.159216456313752,HTTP,poor
non-reel,832,3.4742296316263754,TCP,good
non-reel,507,2.3102100326912676,TCP,good
reel,2015,15.337152154562467,UDP,good
non-reel,220,4.991899606469444,HTTP,poor
reel,1907,16.031924826026238,UDP,good
non-reel,833,0.9063406785779107,HTTP,good
non-reel,919,3.643814459111125,TCP,good
non-reel,351,2.2213896401637845,TCP,poor
non-reel,547,3.148794693318745,TCP,good
non-reel,447,2.381370993213221,HTTP,good
reel,1394,19.1271790765781,UDP,medium
non-reel,674,1.1565705283779004,HTTP,good
non-reel,694,1.6199545279969552,HTTP,good
non-reel,540,1.7890126772134236,HTTP,poor
non-reel,515,2.9779871957972732,HTTP,medium
non-reel,615,3.3382998148215917,HTTP,medium
non-reel,633,2.211244936084255,HTTP,good
reel,1948,18.43791288714547,UDP,medium
non-reel,584,4.0531661578449,HTTP,medium
non-reel,890,2.490814947748699,HTTP,good
reel,2214,16.475760379536332,UDP,good
non-reel,491,4.871830118399828,HTTP,poor
non-reel,351,1.6207364415633307,TCP,good
reel,1803,18.561152263372882,UDP,medium
non-reel,664,3.35558681917719,HTTP,good
non-reel,893,4.955753598523906,HTTP,medium
non-reel,748,2.9732915734811787,HTTP,good
non-reel,373,1.824917336165671,TCP,good
reel,1841,17.22850526426543,UDP,good
non-reel,792,0.8579796721593898,HTTP,good
reel,1961,15.159667940765281,UDP,good
non-reel,359,3.7710482340613503,HTTP,good
non-reel,608,2.573692429686638,HTTP,medium
non-reel,608,4.5138224070777255,HTTP,medium
non-reel,486,1.283305428839967,TCP,medium
reel,2172,15.342916639910968,TCP,good
reel,1679,19.534034407286107,UDP,medium
non-reel,882,3.1930589672405882,TCP,medium
non-reel,380,2.77807978698847,TCP,good
non-reel,781,2.4675094575702032,HTTP,good
non-reel,798,1.8733650285226338,HTTP,good
non-reel,673,6.7325932325156765,TCP,poor
non-reel,394,1.7584278206966757,HTTP,poor
non-reel,337,0.018077455297661693,HTTP,poor
non-reel,948,2.3893544285010564,TCP,good
non-reel,619,0.4284085280988763,TCP,medium
reel,1582,20.030995272617595,TCP,medium
reel,1566,25.473381862166885,TCP,poor
reel,2317,15.926646575822396,UDP,good
reel,1833,18.510785914820527,TCP,medium
non-reel,364,1.191694784512915,TCP,medium
reel,2195,14.27556633252311,UDP,good
non-reel,202,3.6796757272452445,HTTP,medium
non-reel,755,2.5984074428468604,TCP,good
non-reel,705,3.378364453513325,TCP,medium
non-reel,375,3.3210140298678255,TCP,poor
reel,2055,16.30380250492163,UDP,good
non-reel,630,0.9051037129182962,TCP,good
reel,1592,19.843661703337236,TCP,medium
reel,1528,19.560877866533144,TCP,medium
non-reel,544,3.3913238138317596,TCP,good
reel,1575,19.312437355820144,TCP,medium
non-reel,902,1.4850956686577277,TCP,good
non-reel,328,2.9743039653551384,TCP,good
reel,2359,14.8201751115123,TCP,good
reel,1952,16.98995706889551,UDP,good
reel,1845,16.31762190031457,TCP,good
non-reel,311,1.7685114669187996,HTTP,poor
non-reel,301,3.372110544761049,TCP,medium
reel,1293,20.79266833319635,UDP,medium
reel,1863,18.215051092513995,UDP,medium
non-reel,479,4.696393853861598,HTTP,medium
non-reel,342,3.0978298305397542,HTTP,medium
non-reel,158,7.066005855462059,HTTP,poor
reel,1287,24.87652095844835,TCP,poor
reel,1749,16.481255792241534,TCP,good
non-reel,859,4.298162549113428,HTTP,good
non-reel,220,2.6874799108014042,TCP,good
reel,1208,23.553490775729426,UDP,poor
non-reel,423,2.6884255768595686,HTTP,good
non-reel,605,4.09568751850124,TCP,medium
non-reel,650,2.2859704668448857,TCP,good
reel,1971,15.077222363292828,UDP,good
non-reel,475,2.774678679638244,HTTP,medium
reel,2079,16.574357645705273,TCP,good
non-reel,440,2.486356407992669,HTTP,good
non-reel,606,3.414233865868112,HTTP,medium
reel,1735,15.247285030955053,UDP,good
reel,1808,20.560376795154866,UDP,medium
non-reel,408,3.386374907056573,HTTP,medium
non-reel,825,2.8885154813089855,HTTP,good
non-reel,265,3.0305219658233393,HTTP,medium
non-reel,419,3.6137185065396276,HTTP,medium
non-reel,345,2.917747104715545,TCP,medium
non-reel,698,2.8557803731101368,TCP,medium
non-reel,317,3.2923776858092832,HTTP,good
reel,1876,18.89772816448732,TCP,medium
non-reel,512,3.5809767168369078,HTTP,poor
non-reel,623,1.6139402451193188,HTTP,medium
non-reel,282,3.0374988525905473,TCP,poor
non-reel,695,1.25586018903691,TCP,good
reel,2050,18.26139644319526,TCP,medium
non-reel,461,1.8303593947482213,TCP,good
non-reel,560,4.905035587825175,HTTP,medium
reel,1647,20.310404229907938,TCP,medium
reel,1779,16.324049385907085,TCP,good
non-reel,435,2.8050287838581203,TCP,good
reel,1804,20.386397762647565,TCP,medium
non-reel,500,0.9243360705294874,HTTP,medium
non-reel,109,1.2606519631266206,HTTP,good
non-reel,616,2.9411472550977433,TCP,medium
non-reel,356,1.4285519951235068,HTTP,poor
reel,1883,17.901816774182958,UDP,medium
reel,1271,22.734862973895805,UDP,poor
non-reel,1061,3.1229811261324523,TCP,good
non-reel,410,3.4517732137235306,HTTP,good
non-reel,573,3.5404720565350707,TCP,poor
non-reel,294,3.290029258301773,HTTP,medium
non-reel,548,3.6145536946190844,TCP,medium
non-reel,190,4.010729898146705,TCP,poor
non-reel,670,5.671393179752713,TCP,poor
reel,1395,17.769926153631975,UDP,poor
reel,1698,24.961606771393516,TCP,poor
reel,1980,16.541948175827056,TCP,good
reel,1675,16.597945640674766,TCP,good
non-reel,431,1.9153316121467026,HTTP,good
reel,1921,16.592992910345785,TCP,good
reel,1676,25.756478238407755,UDP,poor
non-reel,1145,3.463700696852653,TCP,good
non-reel,397,0.9391111045766012,HTTP,poor
non-reel,573,2.1688518112513604,HTTP,medium
reel,2250,16.333293068557158,UDP,good
non-reel,371,2.28318730450801,TCP,good
non-reel,536,3.1883907839548327,TCP,good
non-reel,733,2.971355967220376,TCP,good
reel,1470,24.621885619280338,UDP,poor
reel,1683,19.645453047133522,UDP,medium
reel,1804,16.177654163435914,UDP,good
non-reel,620,1.6237491578959053,HTTP,good
non-reel,742,3.030069685056923,HTTP,good
reel,1856,15.361399326354146,TCP,good
non-reel,434,8.401445927062088,TCP,poor
reel,2117,20.266142559896203,UDP,medium
non-reel,695,1.8107810316853326,TCP,good
reel,1818,19.3570762830399,TCP,medium
reel,1792,14.572677015871664,TCP,good
non-reel,489,2.5934126777080877,HTTP,good
non-reel,356,8.414485579768193,HTTP,poor
reel,1232,24.560454391447752,TCP,poor
non-reel,268,3.94281642503492,TCP,medium
non-reel,106,7.423327920590383,TCP,poor
non-reel,378,4.161093790897305,HTTP,poor
non-reel,676,4.11724591870106,TCP,medium
non-reel,723,2.288911357570623,HTTP,good
reel,1835,19.42425926118047,UDP,medium
non-reel,782,0.9812063437558283,HTTP,good
non-reel,338,2.2638762106454053,TCP,medium
non-reel,283,2.6767775194665986,HTTP,poor
reel,1652,19.748157899515256,UDP,medium
reel,1821,14.884716390167583,UDP,good
reel,2049,16.156172589288307,TCP,good
non-reel,467,0.9003609058064914,TCP,good
reel,1922,18.801181970650962,TCP,medium
non-reel,424,1.8000571080978687,TCP,good
non-reel,532,8.522533031182803,TCP,poor
non-reel,755,1.4529573166230918,TCP,poor
non-reel,356,2.3412920783528053,TCP,good
reel,1289,26.673638470839613,UDP,poor
non-reel,266,1.5871576434069783,TCP,poor
non-reel,207,5.031368416154195,TCP,poor
non-reel,652,2.3801909627930655,TCP,good
non-reel,700,1.5777734053699688,HTTP,good
reel,1853,15.226779491810467,TCP,good
reel,1897,16.750522478683912,UDP,good
reel,2048,15.39644483260554,UDP,good
reel,2062,16.753572465500266,TCP,good
non-reel,377,2.5267089252356945,TCP,good
reel,1860,21.434839180387833,UDP,poor
reel,1953,15.925051479723516,TCP,good
non-reel,617,4.614536800226496,TCP,good
reel,1574,19.26334523251813,UDP,medium
non-reel,458,2.2124534551041077,HTTP,medium
non-reel,419,2.827779885509561,HTTP,good
non-reel,835,2.6117554385675734,HTTP,medium
non-reel,50,0.43538662883336254,HTTP,poor
non-reel,383,4.860164357261496,TCP,poor
non-reel,552,0.7576933435965891,TCP,poor
non-reel,280,3.736734611731866,HTTP,good
non-reel,692,3.616299142704651,TCP,good
reel,2263,16.675240403122324,UDP,good
non-reel,659,2.52245196422244,HTTP,good
reel,1400,21.386887591417583,UDP,poor
non-reel,593,2.787433567609801,TCP,good
reel,1343,21.713445516112834,UDP,poor
non-reel,536,6.962176776426027,HTTP,poor
reel,1227,19.870045291903732,UDP,poor
non-reel,665,3.951719773105692,TCP,good
non-reel,352,3.425970393918248,HTTP,poor
non-reel,393,2.307825095172737,HTTP,medium
non-reel,368,1.3534247446247745,HTTP,good
reel,2134,16.567930596573053,UDP,good
reel,1881,16.423871352093006,TCP,good
reel,2215,16.739115434968273,TCP,good
non-reel,594,2.392007365602811,HTTP,good
non-reel,599,1.9157179935540136,TCP,good
non-reel,380,2.6031646538942694,HTTP,good
non-reel,309,1.783175066889287,TCP,medium
non-reel,619,2.831096857730511,HTTP,medium
non-reel,400,1.2326523052243443,TCP,poor
non-reel,611,3.7798565966833104,HTTP,good
reel,1830,19.664322117233876,UDP,medium
reel,2104,15.5952314047741,UDP,good
reel,1628,18.68154685690683,TCP,medium
non-reel,998,6.911349919383887,HTTP,poor
reel,2027,22.09457043985231,UDP,poor
reel,2088,15.860688891548508,TCP,good
non-reel,312,3.0641719020928684,TCP,good
reel,1821,15.232090930785319,UDP,good
non-reel,716,3.7633590541853597,TCP,good
reel,1884,16.258467880379467,TCP,good
non-reel,583,4.080017596074477,HTTP,good
reel,1600,16.006783987480244,TCP,good
non-reel,687,5.287361447950662,TCP,good
reel,1941,19.606132597097567,UDP,medium
non-reel,357,2.6872480637961003,HTTP,good
non-reel,531,1.1699704300945224,TCP,good
non-reel,438,3.260543473646021,TCP,medium
reel,1503,14.614460885242034,UDP,good
non-reel,414,2.7115793838974667,HTTP,medium
non-reel,486,2.1706400343431955,HTTP,good
reel,1421,20.093680486915837,TCP,medium
non-reel,425,2.1909271272904576,HTTP,good
reel,2049,15.7199045136626,TCP,good
non-reel,668,1.7131640872768408,HTTP,good
non-reel,484,2.649186925489449,TCP,poor
non-reel,304,2.073681785271069,HTTP,poor
non-reel,255,9.191923784151435,HTTP,poor
non-reel,629,1.6427852708477284,HTTP,good
reel,1321,20.548739711626723,UDP,poor
reel,1607,22.129265223455505,TCP,poor
non-reel,832,3.5881105284147248,HTTP,good
reel,1905,14.060236189766652,TCP,good
non-reel,183,4.392366519342026,TCP,medium
non-reel,636,1.569686401892854,TCP,good
non-reel,466,1.5060188790789908,HTTP,good
reel,2164,14.670292178219919,TCP,good
reel,1540,25.34152581229015,TCP,poor
non-reel,389,1.803872153755417,TCP,good
non-reel,629,4.224957071310184,HTTP,poor
non-reel,788,3.0127047720655677,HTTP,medium
non-reel,677,0.08411225804716338,TCP,good
reel,1522,23.726697034016127,UDP,poor
reel,1895,16.379855283411175,TCP,good
reel,1528,17.912451722613014,UDP,medium
reel,1950,17.85694131417581,TCP,medium
reel,2048,15.906638918048678,TCP,good
non-reel,581,4.05934559918815,TCP,good
non-reel,586,3.930589699333724,HTTP,good
non-reel,750,4.210529751936602,HTTP,good
reel,1356,21.38303049715536,TCP,poor
